PUBUKPRN,KISCOURSEID,TAverage
10000163,MCCF-B320,340
10000291,K00001,258
10000291,K00004,372
10000291,K00005,286
10000291,K00006,356
10000291,K00007,264
10000291,K00008,307
10000291,K00009,299
10000291,K00010,261
10000291,K00011,305
10000291,K00012,382
10000291,K00014,242
10000291,K00015,242
10000291,K00016,224
10000291,K00018,238
10000291,K00019,249
10000291,K00020,230
10000291,K00023,234
10000291,K00024,278
10000291,K00025,260
10000291,K00026,233
10000291,K00027,293
10000291,K00028,252
10000291,K00029,309
10000291,K00030,231
10000291,K00031,280
10000291,K00032,294
10000291,K00034,245
10000291,K00037,252
10000291,K00039,285
10000291,K00040,273
10000291,K00041,245
10000291,K00042,255
10000291,K00045,254
10000291,K00047,249
10000291,K00048,240
10000291,K00050,248
10000291,K00050,249
10000291,K00056,245
10000291,K00065,283
10000291,K00066,300
10000291,K00072,303
10000291,K00075,305
10000291,K00076,230
10000291,K00082,282
10000291,K00108,369
10000291,K00109,286
10000291,K00111,326
10000291,K00119,291
10000291,K00125,208
10000291,K00126,304
10000291,K00134,573
10000291,K00140,245
10000291,K00141,267
10000291,K00142,305
10000291,K00143,211
10000291,K00144,295
10000291,K00145,304
10000291,K00146,259
10000291,K00147,337
10000291,K00152,311
10000291,K00153,231
10000291,K00157,245
10000291,K00158,264
10000291,K00160,250
10000291,K00170,242
10000291,K00171,284
10000291,K00173,255
10000291,K00174,255
10000291,K00176,242
10000291,K00178,295
10000291,K00179,250
10000291,K00188,237
10000291,K00189,292
10000291,K00190,260
10000291,K00191,263
10000291,K00192,248
10000291,K00193,261
10000291,K00194,448
10000291,K00195,264
10000291,K00196,331
10000291,K00200,286
10000291,K00201,282
10000291,K00202,271
10000291,K00242,314
10000291,K00246,900
10000291,K00247,229
10000291,K00248,448
10000291,K00249,284
10000291,K00250,262
10000291,K00252,245
10000291,K00254,244
10000291,K00256,263
10000291,K00257,245
10000291,K00258,225
10000291,K00259,263
10000291,K00260,261
10000291,K00265,363
10000291,K00266,310
10000291,K00267,329
10000291,K00268,293
10000291,K00290,262
10000291,K00291,263
10000291,K00292,244
10000291,K00293,284
10000291,K00295,312
10000291,K00297,263
10000291,K00298,244
10000291,K00299,282
10000291,K00300,300
10000291,K00306,259
10000291,K00308,332
10000291,K00309,292
10000291,K00310,259
10000291,K00312,280
10000291,K00314,244
10000291,K00316,259
10000291,K00320,260
10000291,K00328,277
10000291,K00336,253
10000291,K00442,249
10000291,K00443,320
10000385,BAACT,331
10000385,BAAEP,291
10000385,BAANP,352
10000385,BAARC,320
10000385,BACPH,291
10000385,BACSS,355
10000385,BADAN,335
10000385,BAFAR,305
10000385,BAFLP,339
10000385,BAFSC,319
10000385,BAGDS,318
10000385,BAIAD,286
10000385,BAILL,355
10000385,BAMDM,338
10000385,BAMMP,286
